timestamp_ms,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
3246,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3248,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3250,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3252,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3254,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3256,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3258,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3260,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3262,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3264,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3266,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3268,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3270,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3272,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3274,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3276,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3278,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3280,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3282,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3284,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3286,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3288,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3290,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3292,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3294,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3296,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3298,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3300,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3302,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3304,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3306,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3308,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3310,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3312,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3314,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3316,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3318,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3320,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3322,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3324,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3326,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3328,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3330,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3332,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3334,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3336,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3338,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3340,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3342,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3344,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3346,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3348,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3350,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3352,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3354,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3356,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3358,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3360,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3362,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3364,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3366,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3368,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3370,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3372,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3374,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3376,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3378,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3380,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3382,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3384,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3386,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3388,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3390,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3392,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3394,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3396,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3398,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3400,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3402,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3404,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3406,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3408,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3410,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3412,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3414,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3416,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3418,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3420,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3422,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3424,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3426,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3428,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3430,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3432,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3434,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3436,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3438,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3440,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3442,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3444,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3446,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3448,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3450,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3452,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3454,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3456,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3458,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3460,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3462,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3464,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3466,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3468,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3470,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3472,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3474,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3476,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3478,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3480,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3482,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3484,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3486,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3488,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3490,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3492,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3494,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
3496,993,993,191,990,1811,172,172,172,992,992,992,992,992,992,992,992
